year,season,precipitation(mm),snow_depth(cm),mean_temperature(°C),min_temperature(°C),max_temperature(°C)
2000,Spring,91.3,6.739130434782608,4.709782608695653,-0.17065217391304346,9.9
2000,Summer,248.8,0.0,14.422826086956523,9.803260869565218,19.775
2000,Winter,142.5,10.692307692307692,-1.8714285714285717,-4.696703296703297,0.5098901098901099
2001,Autumn,254.2,0.5824175824175825,5.960439560439561,3.2703296703296707,9.005494505494505
2001,Spring,126.8,3.0543478260869565,3.1467391304347827,-1.7228260869565217,8.268478260869566
2001,Summer,195.9,0.0,15.944565217391306,10.76086956521739,21.215217391304346
2001,Winter,75.6,7.944444444444445,-6.1755555555555555,-9.166666666666666,-3.3744444444444444
2002,Autumn,81.8,3.32967032967033,1.9032967032967032,-1.5714285714285714,5.85934065934066
2002,Spring,67.8,3.3260869565217392,5.334782608695653,-0.6467391304347826,11.152173913043478
2002,Summer,174.2,0.0,17.169565217391302,11.283695652173913,22.934782608695652
2002,Winter,116.5,10.333333333333334,-5.158888888888889,-8.514444444444443,-2.3666666666666667
2003,Autumn,129.1,1.010989010989011,5.12967032967033,1.7802197802197801,8.461538461538462
2003,Spring,113.7,5.489130434782608,3.5749999999999997,-1.0130434782608695,8.528260869565218
2003,Summer,220.0,0.0,15.894565217391303,10.626086956521739,21.38586956521739
2003,Winter,121.7,16.322222222222223,-6.359999999999999,-10.382222222222222,-2.6933333333333334
2004,Autumn,174.2,0.5274725274725275,5.172527472527473,2.291208791208791,8.297802197802199
2004,Spring,83.4,11.565217391304348,4.243478260869565,-1.3271739130434783,9.88804347826087
2004,Summer,337.0,0.0,14.47717391304348,9.690217391304348,19.516304347826086
2004,Winter,131.8,14.31868131868132,-4.408791208791208,-7.532967032967033,-1.6934065934065934
2005,Autumn,158.0,0.6483516483516484,7.076923076923077,3.864835164835165,10.54065934065934
2005,Spring,43.4,8.369565217391305,2.4108695652173915,-2.889130434782609,7.877173913043479
2005,Summer,316.2,0.0,15.56304347826087,10.227173913043478,20.92608695652174
2005,Winter,132.3,12.6,-4.071111111111111,-6.777777777777778,-1.5733333333333333
2006,Autumn,255.3,1.2747252747252746,6.976923076923077,4.021978021978022,10.24065934065934
2006,Spring,123.0,15.945652173913043,2.1456521739130436,-2.866304347826087,7.183695652173912
2006,Summer,97.7,0.0,17.047826086956523,10.61195652173913,23.206521739130434
2006,Winter,110.9,11.344444444444445,-3.6333333333333333,-6.582222222222222,-1.051111111111111
2007,Autumn,179.5,0.5714285714285714,5.315384615384615,2.6043956043956045,8.438461538461539
2007,Spring,84.3,1.2826086956521738,5.608695652173913,1.0358695652173913,10.707608695652175
2007,Summer,230.9,0.0,15.83695652173913,10.279347826086957,21.33695652173913
2007,Winter,147.8,5.322222222222222,-4.016666666666667,-7.285555555555556,-0.9666666666666667
2008,Autumn,247.2,0.8571428571428571,5.786813186813187,2.735164835164835,8.936263736263736
2008,Spring,111.1,1.3478260869565217,4.83804347826087,-0.2597826086956522,9.691304347826087
2008,Summer,228.29999999999998,0.0,14.696739130434782,9.9,19.898913043478263
